# ID M Rvir x y z
50540.000000 6.984554e+12 272.104919 44.209541 99.001320 41.576595 
78094.000000 6.974772e+12 271.850433 50.054211 27.975256 39.125183 
267386.000000 6.961077e+12 271.518890 67.428619 97.865265 96.545624 
95744.000000 6.958142e+12 271.109741 85.892807 55.761955 24.342205 
198242.000000 6.956185e+12 271.735779 95.000504 2.034004 38.540367 
207972.000000 6.943468e+12 271.595490 61.456497 10.895107 71.891556 
78155.000000 6.929773e+12 271.391174 50.785694 45.070412 26.196348 
249740.000000 6.904339e+12 271.122528 92.111633 79.648170 23.069056 
164011.000000 6.890644e+12 270.866211 46.897610 58.870720 93.519615 
156589.000000 6.873036e+12 270.532257 36.755096 62.747543 69.080078 
37022.000000 6.855428e+12 270.480804 25.464045 69.044441 0.912211 
104589.000000 6.848580e+12 270.364960 92.431000 49.044811 52.066521 
50649.000000 6.844668e+12 270.197479 39.901218 80.029839 36.360020 
40918.000000 6.842711e+12 270.313446 13.116405 65.243736 11.209127 
146605.000000 6.822168e+12 270.016846 7.183568 43.191391 43.761318 
50428.000000 6.819234e+12 269.965210 38.293457 95.402168 43.546688 
225082.000000 6.803582e+12 269.797211 88.488731 23.586903 57.748718 
259241.000000 6.802604e+12 269.784271 88.849037 93.901611 58.913223 
198475.000000 6.801625e+12 269.771362 56.947746 22.059477 50.240448 
95794.000000 6.785973e+12 269.110138 97.271286 51.773746 28.134972 
182673.000000 6.784995e+12 269.434662 16.642248 74.501289 74.559929 
232946.000000 6.777170e+12 269.447632 63.824753 30.628891 93.448479 
50559.000000 6.774235e+12 269.266022 7.139396 87.106720 56.131977 
198182.000000 6.759561e+12 269.019135 88.699043 5.233858 25.580151 
19726.000000 6.743910e+12 268.654480 39.021385 52.326527 61.431618 
225098.000000 6.743910e+12 268.967102 79.014420 30.414896 64.966026 
249849.000000 6.737063e+12 268.797852 93.703468 89.999825 40.557880 
9448.000000 6.718476e+12 268.654480 13.176746 28.729958 88.220528 
50569.000000 6.707715e+12 268.210358 19.339689 96.051903 61.364449 
27537.000000 6.700868e+12 268.367279 11.881266 47.174381 99.747787 
259485.000000 6.697933e+12 267.791016 90.425865 88.560692 67.414627 
267579.000000 6.688151e+12 268.171112 71.360641 83.901497 97.893692 
249979.000000 6.678369e+12 267.895966 88.448448 98.114471 34.898682 
249822.000000 6.677390e+12 268.118744 81.988945 92.116684 35.412693 
172758.000000 6.673478e+12 268.066345 42.422878 92.210823 6.317446 
216448.000000 6.671521e+12 267.791016 78.459328 45.214169 17.173695 
112641.000000 6.664673e+12 267.948425 91.326317 81.342903 1.642067 
60189.000000 6.640218e+12 267.620270 86.231415 2.901144 9.742272 
1209.000000 6.631414e+12 267.251801 1.297065 30.453224 12.407562 
225274.000000 6.627501e+12 267.409851 50.959476 45.317612 55.993679 
241511.000000 6.624566e+12 267.396698 91.191917 64.592575 93.896172 
1097.000000 6.617718e+12 266.538269 11.897759 15.044170 24.658169 
216295.000000 6.614784e+12 267.278168 59.965633 34.519417 1.175162 
172783.000000 6.590328e+12 266.948364 20.458969 71.841522 13.238295 
146509.000000 6.512070e+12 265.300415 34.397690 34.596989 15.093434 
19689.000000 6.512070e+12 265.273651 41.095016 39.411541 74.639969 
198305.000000 6.507179e+12 264.885193 90.896858 4.627475 31.926979 
60199.000000 6.504244e+12 265.754303 89.749718 4.839810 20.971760 
140026.000000 6.489571e+12 265.514191 8.834497 45.790611 8.425504 
121122.000000 6.463158e+12 265.153229 28.385910 7.856356 38.042824 
190159.000000 6.455333e+12 265.086273 49.472713 88.360046 88.665077 
68686.000000 6.441637e+12 264.831543 56.184174 8.125049 90.746574 
140041.000000 6.403486e+12 264.374481 15.568895 47.157070 6.728497 
87441.000000 6.402508e+12 264.387939 51.475357 51.203732 5.198525 
104697.000000 6.396639e+12 264.293640 97.169029 49.324978 55.164711 
121116.000000 6.391748e+12 264.239746 0.743243 6.875252 55.520256 
225199.000000 6.388813e+12 263.834717 64.310997 31.155813 65.921257 
1178.000000 6.383922e+12 264.077881 2.652521 1.600251 3.943541 
163977.000000 6.375117e+12 263.996857 34.980259 68.998444 97.339066 
198341.000000 6.367292e+12 263.902283 71.121368 10.153714 21.793068 
216330.000000 6.365335e+12 263.550446 57.662159 24.548237 18.815624 
95843.000000 6.335988e+12 263.347015 91.897812 52.178898 37.135609 
146670.000000 6.335010e+12 263.333466 9.693250 47.533314 36.049480 
249860.000000 6.331098e+12 263.401306 99.199730 91.443802 37.255970 
68695.000000 6.330119e+12 263.238403 51.626778 17.941391 88.036873 
27543.000000 6.316424e+12 263.170471 35.416965 46.214882 75.305382 
156628.000000 6.303707e+12 262.939240 2.253511 58.560261 67.351044 
216471.000000 6.302729e+12 262.993683 90.173164 36.428196 15.423407 
60075.000000 6.301750e+12 262.379883 78.841385 1.896665 9.897805 
87517.000000 6.300772e+12 262.816650 71.638527 68.431007 16.572250 
121145.000000 6.299794e+12 262.966461 1.382054 28.551924 55.552101 
249962.000000 6.298816e+12 262.925629 61.069954 81.126900 26.713648 
146702.000000 6.282186e+12 262.721222 14.895907 45.925587 20.173683 
121128.000000 6.269469e+12 262.393555 30.933197 11.690578 37.472374 
87318.000000 6.267513e+12 262.420898 85.688713 68.144371 10.811179 
1241.000000 6.267513e+12 262.393555 49.302582 15.837784 1.405438 
1218.000000 6.266534e+12 262.502869 13.205804 25.055101 17.740566 
198315.000000 6.245992e+12 262.065033 61.024956 12.633785 49.830463 
216507.000000 6.245992e+12 262.119843 85.404709 44.608543 16.392717 
198332.000000 6.244035e+12 261.927917 97.419998 12.215537 26.841375 
233015.000000 6.242079e+12 261.969086 69.075394 28.038921 74.094315 
259421.000000 6.224470e+12 260.839600 71.761955 82.244804 67.225616 
68742.000000 6.217623e+12 261.680756 89.626060 12.505575 93.794830 
50630.000000 6.217623e+12 261.818115 18.461439 96.433319 52.453068 
164237.000000 6.193167e+12 261.336670 39.943798 69.516037 85.953232 
225324.000000 6.192189e+12 260.950226 65.775192 31.662182 61.407692 
233020.000000 6.162842e+12 260.229462 66.621468 32.279285 94.516045 
198354.000000 6.145234e+12 260.798065 84.654587 9.829383 41.344608 
87390.000000 6.142299e+12 260.687317 51.117451 63.784882 7.211567 
68747.000000 6.138386e+12 260.659637 81.770897 22.833433 96.033203 
139509.000000 6.127626e+12 260.382263 13.769820 35.647911 4.481280 
233066.000000 6.122735e+12 260.354492 50.010025 26.416224 99.745140 
19781.000000 6.117843e+12 260.090393 3.735579 41.342709 60.470013 
140062.000000 6.116865e+12 260.173859 34.064693 35.858788 14.056762 
207930.000000 6.111974e+12 260.326721 97.176689 13.713453 72.679016 
59974.000000 6.107083e+12 260.257263 51.036224 9.889833 13.649672 
112723.000000 6.095344e+12 260.020813 95.621223 89.647293 0.336856 
140005.000000 6.089475e+12 259.895477 17.325010 48.280632 7.093529 
60169.000000 6.088497e+12 259.992981 71.055695 11.243612 15.840251 
190202.000000 6.087518e+12 259.979034 34.017384 99.128357 90.923508 
198422.000000 6.082627e+12 259.909393 54.959835 4.097874 36.256897 
78177.000000 6.079692e+12 259.825775 50.765060 33.717007 43.259129 
42664.000000 6.076758e+12 259.783936 29.244270 61.244495 24.575186 
233061.000000 6.051324e+12 259.168823 67.544930 46.082462 79.992256 
27569.000000 6.051324e+12 259.420807 32.811516 51.886806 79.175980 
131839.000000 6.050346e+12 259.434814 20.904528 3.191686 65.022820 
249877.000000 6.039585e+12 259.182831 51.276848 90.497658 43.926453 
156585.000000 6.029803e+12 258.381714 32.815163 69.656578 70.441063 
149148.000000 6.024912e+12 259.084717 17.594629 36.312519 50.490219 
163738.000000 6.013173e+12 258.902313 7.570112 66.008774 80.535522 
182692.000000 6.007304e+12 258.268890 34.909893 95.695610 71.241547 
267513.000000 5.984804e+12 258.240662 65.695259 90.494568 98.391861 
208093.000000 5.981870e+12 258.424011 88.230537 1.072611 67.949448 
87476.000000 5.971109e+12 258.311218 51.009880 59.725174 22.416389 
140032.000000 5.967196e+12 258.198303 27.061951 50.893646 7.258645 
208065.000000 5.963283e+12 258.184204 85.857880 12.666830 71.749031 
68723.000000 5.957414e+12 258.113586 93.444901 6.680835 77.882530 
198148.000000 5.940784e+12 257.873169 85.903580 5.379080 22.434116 
232993.000000 5.938828e+12 257.844879 56.219376 37.776279 76.175331 
267591.000000 5.931980e+12 257.703217 84.043968 91.854614 80.602448 
78223.000000 5.928067e+12 257.689056 49.539028 38.154030 43.454643 
249943.000000 5.925133e+12 257.490448 57.711140 78.860680 31.453850 
68735.000000 5.925133e+12 257.263123 56.552242 13.627610 87.592239 
87433.000000 5.918285e+12 257.547211 93.798416 57.374313 16.479210 
139478.000000 5.915350e+12 257.291534 12.827985 34.981663 4.908226 
131868.000000 5.913394e+12 257.476257 40.806522 9.797899 73.321968 
1128.000000 5.909481e+12 257.291534 47.097820 22.296057 10.676598 
146695.000000 5.905568e+12 257.291534 2.963262 45.921638 15.167694 
19735.000000 5.902633e+12 257.177765 37.804092 40.767685 73.211029 
241473.000000 5.849809e+12 256.492859 83.831970 66.069870 74.966301 
60175.000000 5.846874e+12 256.507172 89.442078 6.451107 7.149627 
190180.000000 5.835135e+12 256.235077 18.513065 98.747032 87.985870 
190274.000000 5.827310e+12 256.120331 32.717930 81.538795 79.220634 
19466.000000 5.776442e+12 255.473022 11.210060 31.552860 52.168491 
233125.000000 5.772529e+12 254.561234 68.224251 30.744522 82.083260 
19672.000000 5.772529e+12 255.400894 42.429806 31.826969 70.808807 
198382.000000 5.760790e+12 255.242065 84.106209 3.488825 46.650352 
50644.000000 5.752964e+12 255.126434 9.171237 90.606682 51.502808 
163931.000000 5.745138e+12 254.996231 42.318146 65.145653 79.162788 
225256.000000 5.736334e+12 254.822403 66.308731 38.580318 69.537544 
249988.000000 5.731443e+12 254.735413 50.729565 96.276749 49.659554 
121177.000000 5.726552e+12 254.735413 1.718607 26.285929 56.024811 
1265.000000 5.720682e+12 254.633835 48.721352 5.310472 4.741672 
198262.000000 5.707965e+12 254.459518 62.885151 15.896537 24.281202 
58864.000000 5.664924e+12 253.613602 87.459854 7.071343 17.342432 
121081.000000 5.642424e+12 253.437866 8.543465 29.849243 53.632172 
104750.000000 5.635576e+12 253.349915 54.124332 70.868340 65.221992 
27633.000000 5.627751e+12 252.747269 34.871967 46.702869 91.354095 
104714.000000 5.624816e+12 253.217880 65.257027 63.005661 58.844681 
1257.000000 5.622860e+12 253.188507 45.800407 9.133918 18.249899 
60229.000000 5.602317e+12 252.879807 88.567787 20.363655 2.456944 
42738.000000 5.599382e+12 252.835632 15.434333 67.432976 18.379988 
104742.000000 5.591556e+12 252.614594 53.149258 58.726185 61.626038 
224980.000000 5.590578e+12 252.614594 79.402863 26.932854 66.698380 
131905.000000 5.589600e+12 252.644089 33.233265 21.111345 68.234955 
19620.000000 5.577861e+12 252.496536 37.433487 41.451508 61.232254 
172843.000000 5.568079e+12 252.038040 41.078560 79.779549 33.967724 
216489.000000 5.567101e+12 252.289688 81.178513 33.435764 1.923995 
112613.000000 5.567101e+12 252.334030 58.550602 77.192558 7.063815 
9433.000000 5.559275e+12 250.951721 29.436672 4.650980 80.317719 
156612.000000 5.556340e+12 251.726501 33.275375 67.211525 68.294487 
241553.000000 5.548514e+12 252.052856 78.528839 48.073338 91.027657 
112747.000000 5.535797e+12 251.874954 56.049931 74.584427 16.950792 
27635.000000 5.528950e+12 251.384399 40.737713 41.533539 82.676720 
121109.000000 5.522102e+12 251.533249 12.535500 4.413696 25.217443 
19826.000000 5.518189e+12 251.607620 45.353436 42.980072 57.217827 
9474.000000 5.503516e+12 251.339706 27.519405 3.113005 84.090401 
267739.000000 5.489820e+12 250.622482 49.938931 89.448906 87.611588 
181890.000000 5.481995e+12 250.322433 21.660772 99.975006 73.141388 
95824.000000 5.472212e+12 250.862015 68.989029 60.346416 43.517155 
27565.000000 5.465365e+12 250.757278 44.370575 48.356197 89.728249 
112735.000000 5.454604e+12 250.637466 77.978836 79.696136 5.532751 
267706.000000 5.436996e+12 250.337448 94.238510 80.650757 71.632088 
146729.000000 5.435040e+12 250.217239 10.708555 48.648773 23.711308 
216483.000000 5.430149e+12 250.262329 84.771400 46.154961 11.207549 
42717.000000 5.415475e+12 250.006592 28.470139 68.109573 32.291286 
208034.000000 5.414497e+12 249.508667 81.878319 7.135873 62.037365 
140079.000000 5.406671e+12 249.780502 12.621804 51.907509 13.324732 
232819.000000 5.403736e+12 249.114944 49.502708 23.662136 99.441650 
164032.000000 5.400802e+12 248.932816 18.730474 58.261349 74.881927 
77986.000000 5.399823e+12 249.780502 51.336514 35.830959 45.040012 
104637.000000 5.397867e+12 249.750336 54.363934 58.166164 61.110600 
112080.000000 5.396889e+12 249.448166 63.409985 89.322952 7.238187 
198509.000000 5.383194e+12 249.266525 88.052002 4.265736 24.465109 
19790.000000 5.383194e+12 249.493546 34.450748 47.943085 64.348900 
